Serial number,Wavelength (nm),Absolute spectral value (W/m2/nm),Relative spectral value
322,701,1.96E-02,0.0208
323,702,1.91E-02,0.0202
324,703,1.72E-02,0.0182
325,704,1.64E-02,0.0174
326,705,1.60E-02,0.017
327,706,1.60E-02,0.017
328,707,1.55E-02,0.0164
329,708,1.43E-02,0.0152
330,709,1.42E-02,0.0151
331,710,1.42E-02,0.015
332,711,1.31E-02,0.0139
333,712,1.22E-02,0.013
334,713,1.16E-02,0.0123
335,714,1.14E-02,0.0121
336,715,1.14E-02,0.0121
337,716,1.18E-02,0.0125
338,717,1.10E-02,0.0117
339,718,9.75E-03,0.0103
340,719,1.05E-02,0.0111
341,720,1.03E-02,0.0109
342,721,8.74E-03,0.0093
343,722,8.21E-03,0.0087
344,723,8.06E-03,0.0086
345,724,8.52E-03,0.009
346,725,8.78E-03,0.0093
347,726,8.87E-03,0.0094
348,727,8.94E-03,0.0095
349,728,8.54E-03,0.0091
350,729,6.93E-03,0.0073
351,730,6.69E-03,0.0071
352,731,7.21E-03,0.0076
353,732,7.39E-03,0.0078
354,733,7.13E-03,0.0076
355,734,6.23E-03,0.0066
356,735,5.68E-03,0.006
357,736,5.42E-03,0.0058
358,737,6.20E-03,0.0066
359,738,6.20E-03,0.0066
360,739,5.51E-03,0.0058
361,740,5.68E-03,0.006
362,741,5.61E-03,0.006
363,742,4.82E-03,0.0051
364,743,4.56E-03,0.0048
365,744,4.59E-03,0.0049
366,745,5.18E-03,0.0055
367,746,5.14E-03,0.0055
368,747,4.33E-03,0.0046
369,748,4.13E-03,0.0044
370,749,4.11E-03,0.0044
371,750,4.22E-03,0.0045
372,751,3.87E-03,0.0041
373,752,3.21E-03,0.0034
374,753,3.30E-03,0.0035
375,754,3.19E-03,0.0034
376,755,2.75E-03,0.0029
377,756,3.48E-03,0.0037
378,757,4.34E-03,0.0046
379,758,3.81E-03,0.004
380,759,3.22E-03,0.0034
381,760,2.56E-03,0.0027
